lower,actualEffect,upper,posterior_prob,article_names,significance,positive
-1147.427936,5970,601.8872003,0.296411856,airpollution,0,1
-2309.32949,139,2260.907171,0.492,bycatch,0,1
-60.58880375,399.5,146.4149718,0.214580468,carbondioxideremoval,0,1
-6.902873633,40,17.1757826,0.20467033,cascadeeffectecology,0,1
-1439.181861,3821,1961.307858,0.384126984,climatechange,0,1
-1368.011749,4128,2047.446885,0.295591182,climatechange,0,1
-886.4711057,4548.5,2411.63205,0.185423365,climatechange,0,1
-606.0518984,4760,2575.601511,0.106318957,climatechange,0,1
-709.630101,4686.5,2369.89774,0.182762201,climatechange,0,1
-40.06789947,170.5,38.81991163,0.5,climatechangeinthearctic,0,1
-1.340230375,29,17.61338782,0.059925094,communitybasedconservation,0,1
-57.30882412,246.5,41.52062815,0.344729345,conservation,0,1
-47.5267888,248,47.8494169,0.467625899,conservation,0,1
85.59772837,1023.5,991.0385366,0.008254717,coralbleaching,1,1
-409.6664596,543.5,471.4657132,0.457788347,coralbleaching,0,1
-451.6146062,1560,179.7106229,0.182278481,coralreef,0,1
-13.0350873,34,15.87569549,0.417127072,ecosystemhealth,0,1
-25.63311549,26.5,3.19814074,0.080110497,ecosystemhealth,0,1
-231.7477722,888.5,84.12752464,0.154589372,ecotourism,0,1
-293.3209335,2506,477.6058636,0.323232323,endangeredspecies,0,1
-318.3248129,2479.5,369.6562488,0.419191919,endangeredspecies,0,1
-208.3472687,2041.5,648.232703,0.146135266,extinction,0,1
-390.1763325,1987,535.1585497,0.35131397,extinction,0,1
-610.4054541,1732.5,307.3219481,0.277537797,extinction,0,1
-119.7084523,185.5,13.30781878,0.080989876,fishingtackle,0,1
-398.6455121,1955,207.4803974,0.319952774,fossilfuel,0,1
-846.7354801,4017.5,977.6342894,0.381736527,greenhousegas,0,1
-75.33786329,449.5,152.8806048,0.221763085,habitatdestruction,0,1
-24.23251347,485,168.6527937,0.079779917,habitatdestruction,0,1
-22.30589125,509.5,189.5226222,0.063360882,habitatdestruction,0,1
-120.4282314,396,92.94812418,0.428374656,habitatdestruction,0,1
-8.94242833,7.5,2.841519743,0.14744352,humanwildlifeconflict,0,1
-377.1303562,923,391.4880844,0.466903073,hunting,0,1
-483.6693958,833.5,318.6602533,0.3364817,hunting,0,1
-28.05377787,11,21.94652942,0.422716628,industrialpollution,0,1
-13.3854446,226.5,87.21744198,0.10320781,marinedebris,0,1
-90.90588774,662.5,121.2532556,0.391304348,marinepollution,0,1
-156.2755132,627,69.73955248,0.229468599,marinepollution,0,1
-86.22514209,308,209.6955734,0.196392786,microplastics,0,1
-74.32294664,342,218.1864976,0.154663518,microplastics,0,1
-417.3964981,3079,366.7559683,0.436038514,noisepollution,0,1
-106.7677028,676.5,177.7795967,0.34057971,oceanacidification,0,1
-51.19861428,208.5,32.77081831,0.341127923,overexploitation,0,1
-37.41209035,224.5,47.46425575,0.400275103,overexploitation,0,1
-37.58737418,418,136.2011653,0.112860892,overfishing,0,1
-83.02155708,402.5,106.1121839,0.414438503,overfishing,0,1
-19.85272044,449.5,132.9048287,0.120689655,overfishing,0,1
-66.15226344,434.5,84.6982198,0.403183024,overfishing,0,1
-308.9934523,1357.5,299.6785298,0.458378378,plasticpollution,0,1
-153.4151131,1368.5,477.2359769,0.135172414,plasticpollution,0,1
-215.3702149,709.5,91.42825449,0.205287714,poaching,0,1
-5.911945189,172.5,38.90808422,0.097527473,poisoning,0,1
-45.67887789,136.5,-0.808080342,0.023545706,poisoning,1,1
-855.866995,7584.5,1055.62539,0.39477304,pollution,0,1
-1000.784246,6803,1014.243034,0.498626374,pollution,0,1
-320.2309486,300.5,310.0184286,0.48,protectedarea,0,1
-1517.028319,677.5,1428.646544,0.486973948,sealevelrise,0,1
-31.50552535,103,24.08448939,0.402173913,sustainablefishery,0,1
-54.94338101,193.5,60.69913923,0.482352941,trawling,0,1
-279.7458196,1582.5,243.4551958,0.470588235,urbanization,0,1
-983.5171265,6199.5,659.6133183,0.368530021,waterpollution,0,1
152.9957511,867,374.1496113,0.001210654,whaling,1,1
7.962614621,131.5,60.98305723,0.005524862,wildlifetourism,1,1